iter	MultiClass
0	1.273558304
1	1.19064092
2	1.122486982
3	1.065014222
4	1.018521304
5	0.9776817031
6	0.9430095428
7	0.910083514
8	0.8816590998
9	0.8564829838
10	0.8352290052
11	0.8122023818
12	0.7940093181
13	0.7795378216
14	0.7666584039
15	0.7549501993
16	0.7452512379
17	0.7345661313
18	0.7247597232
19	0.7164330998
20	0.7095688587
21	0.70054855
22	0.6949374442
23	0.6869171257
24	0.6810824928
25	0.6761741261
26	0.67173679
27	0.6639874601
28	0.6585929606
29	0.6529144231
30	0.6488128953
31	0.6418676405
32	0.6380157029
33	0.6333264847
34	0.6302286166
35	0.6280764194
36	0.6235811065
37	0.6212431133
38	0.6188357666
39	0.6169220482
40	0.6147335503
41	0.6118919746
42	0.6102636735
43	0.6073279022
44	0.6027593551
45	0.600763132
46	0.5994623713
47	0.5979270697
48	0.5964032002
49	0.5945604575
50	0.5928087236
51	0.5911659555
52	0.5881729587
53	0.5872585385
54	0.5835960006
55	0.5819477268
56	0.5807358365
57	0.5777020665
58	0.5761839748
59	0.5743853341
60	0.5732721355
61	0.5723481717
62	0.5709759809
63	0.5699185953
64	0.5687936499
65	0.5674285891
66	0.5663888478
67	0.5653101623
68	0.5637022432
69	0.5626977293
70	0.5616968033
71	0.5601045029
72	0.559175216
73	0.557822893
74	0.5555868342
75	0.5547542729
76	0.5537912166
77	0.5526099124
78	0.5516395566
79	0.5491619412
80	0.5482020886
81	0.5471763634
82	0.5457954395
83	0.5446456587
84	0.5420004328
85	0.5401875707
86	0.5392028476
87	0.5375867841
88	0.5365674898
89	0.535020618
90	0.5340917371
91	0.5327640277
92	0.5320015994
93	0.531005772
94	0.5299093311
95	0.5292692466
96	0.5282995393
97	0.5274166809
98	0.5266038198
99	0.5259131866
100	0.5242182838
101	0.5235541834
102	0.5227700013
103	0.5220623448
104	0.5214488071
105	0.5204727515
106	0.5194093661
107	0.5180478469
108	0.5164129796
109	0.5151523559
110	0.5136815501
111	0.5124412558
112	0.5106106707
113	0.5089914816
114	0.5081702231
115	0.5062843164
116	0.505239944
117	0.5044281684
118	0.5028739389
119	0.5020859682
120	0.5008307069
121	0.4999433217
122	0.4989296966
123	0.498026048
124	0.4972008671
125	0.4958154107
126	0.4945161331
127	0.4933773809
128	0.4925803648
129	0.4914546871
130	0.4904108401
131	0.4890775832
132	0.4880386178
133	0.4873544396
134	0.4865651831
135	0.4857032018
136	0.4848607206
137	0.4840986962
138	0.4829493759
139	0.4819838185
140	0.4807240651
141	0.4799056641
142	0.4793801891
143	0.478605464
144	0.4778185007
145	0.4765567991
146	0.4759505745
147	0.4753251961
148	0.4744288461
149	0.4732664682
150	0.4725333789
151	0.4716174596
152	0.4706509327
153	0.4700544234
154	0.4690366215
155	0.4682398126
156	0.4671743549
157	0.4660834505
158	0.465510674
159	0.4644762435
160	0.4639029912
161	0.462895881
162	0.462142105
163	0.4614294827
164	0.4605904859
165	0.4599054141
166	0.4592783334
167	0.4584372584
168	0.4573725557
169	0.4568737537
170	0.4560996929
171	0.4555304961
172	0.4546439687
173	0.4539094482
174	0.4530265234
175	0.4524163689
176	0.4517292086
177	0.4510085541
178	0.4503829825
179	0.4497113786
180	0.4484552209
181	0.4476384755
182	0.4468048022
183	0.4460400799
184	0.4453488158
185	0.4446309206
186	0.4438882653
187	0.4432439069
188	0.4425241995
189	0.4419521553
190	0.4409523796
191	0.4402277899
192	0.4395556949
193	0.4385786684
194	0.4377734121
195	0.4369368479
196	0.4361912159
197	0.4355782332
198	0.4350904335
199	0.434271624
200	0.4336774288
201	0.4330749067
202	0.4323541187
203	0.4315038622
204	0.4309035315
205	0.4300966249
206	0.4295557049
207	0.4289738293
208	0.4282996984
209	0.4276367596
210	0.4267316952
211	0.4258663949
212	0.4251603213
213	0.4246674753
214	0.4242794609
215	0.4234001593
216	0.42266594
217	0.4218995063
218	0.4211364086
219	0.4205337399
220	0.4200431887
221	0.4193681234
222	0.4189461966
223	0.4181866015
224	0.4176184425
225	0.4169535284
226	0.416142162
227	0.4157369501
228	0.414905084
229	0.414268406
230	0.4138177043
231	0.4131713739
232	0.4124921162
233	0.411730191
234	0.4111852164
235	0.410785629
236	0.4099323722
237	0.4092337842
238	0.4087427635
239	0.4082293605
240	0.4078456239
241	0.4071939817
242	0.4065731216
243	0.4058492103
244	0.4053458505
245	0.4048260531
246	0.4042306193
247	0.403402105
248	0.4028115262
249	0.4023694784
250	0.4016815805
251	0.400982136
252	0.4003873419
253	0.3997313573
254	0.3991306512
255	0.3986453897
256	0.3982604014
257	0.3975975533
258	0.396690403
259	0.3960899046
260	0.3954550312
261	0.3950007022
262	0.3943171086
263	0.393696784
264	0.3931074009
265	0.3924276718
266	0.3917664309
267	0.3912761005
268	0.390796622
269	0.3902966001
270	0.3896813023
271	0.3891260001
272	0.3886056
273	0.3880147188
274	0.3874467207
275	0.386619916
276	0.3860562758
277	0.385482798
278	0.3847655572
279	0.3841702088
280	0.3838438439
281	0.3831103265
282	0.3825447508
283	0.3818006158
284	0.3813907715
285	0.3811230705
286	0.3807799472
287	0.3800948026
288	0.3795115533
289	0.3790246122
290	0.378703167
291	0.378321214
292	0.3779511695
293	0.3776664338
294	0.3773384063
295	0.3766037514
296	0.3759417176
297	0.3752469593
298	0.3746948009
299	0.3741326489
300	0.3735767358
301	0.3729343176
302	0.3723725059
303	0.3721093391
304	0.371608788
305	0.3709191433
306	0.370310562
307	0.3698225053
308	0.369318649
309	0.3687634355
310	0.3681064989
311	0.3675074119
312	0.367229106
313	0.3666988526
314	0.3661281024
315	0.3657314359
316	0.3652703154
317	0.3649446421
318	0.3646046618
319	0.3639518294
320	0.3634853066
321	0.3627316908
322	0.3621021926
323	0.3615163149
324	0.360580465
325	0.36037668
326	0.3601551607
327	0.3598870738
328	0.3592418782
329	0.3588171588
330	0.358427178
331	0.3580742339
332	0.3577172318
333	0.3571463787
334	0.356806401
335	0.355938957
336	0.3554187167
337	0.3550151454
338	0.3546054624
339	0.3541777165
340	0.353495377
341	0.3528656537
342	0.3519860984
343	0.3516259909
344	0.3510415509
345	0.3506370045
346	0.3500748123
347	0.3496049222
348	0.3490193272
349	0.3484741324
350	0.3480951099
351	0.3473249586
352	0.3466654984
353	0.3462304561
354	0.3456363521
355	0.3451216629
356	0.3447623289
357	0.3442866575
358	0.3438897009
359	0.3434773763
360	0.3429171575
361	0.3423980817
362	0.3419430832
363	0.341660605
364	0.3410397167
365	0.3406367649
366	0.3403182621
367	0.3396459123
368	0.3393426014
369	0.3390107034
370	0.3384953769
371	0.3376488484
372	0.3372017713
373	0.3367020521
374	0.3359638777
375	0.3354901372
376	0.3346266598
377	0.334244297
378	0.3337870396
379	0.3333242577
380	0.3328941023
381	0.3326705089
382	0.3324462844
383	0.3319166245
384	0.3310691435
385	0.3306286188
386	0.330170367
387	0.3296903199
388	0.3293177018
389	0.3289076986
390	0.3284319035
391	0.3276146265
392	0.3269699205
393	0.3264603819
394	0.3259531821
395	0.3254015417
396	0.3251587242
397	0.3247067385
398	0.3243228368
399	0.3237156519
