iter	Passed	Remaining
0	39	15947
1	81	16137
2	120	15963
3	158	15728
4	201	15929
5	242	15953
6	278	15647
7	317	15550
8	353	15370
9	390	15224
10	428	15166
11	465	15061
12	502	14944
13	540	14909
14	580	14888
15	619	14857
16	624	14063
17	658	13971
18	694	13917
19	734	13951
20	771	13922
21	809	13909
22	849	13916
23	884	13864
24	923	13847
25	961	13832
26	1000	13826
27	1043	13857
28	1083	13858
29	1123	13852
30	1159	13801
31	1195	13745
32	1238	13778
33	1277	13753
34	1319	13758
35	1356	13718
36	1394	13682
37	1435	13679
38	1472	13633
39	1509	13587
40	1548	13563
41	1588	13538
42	1623	13480
43	1666	13486
44	1706	13466
45	1741	13404
46	1780	13373
47	1821	13354
48	1860	13330
49	1899	13296
50	1943	13297
51	1985	13288
52	2024	13257
53	2061	13211
54	2098	13162
55	2136	13126
56	2176	13097
57	2212	13045
58	2248	12997
59	2287	12960
60	2326	12930
61	2364	12889
62	2400	12839
63	2440	12814
64	2482	12793
65	2519	12749
66	2557	12713
67	2594	12669
68	2633	12631
69	2670	12589
70	2713	12571
71	2753	12542
72	2793	12511
73	2836	12497
74	2874	12455
75	2917	12437
76	2961	12421
77	3003	12400
78	3046	12377
79	3088	12352
80	3130	12327
81	3169	12292
82	3209	12257
83	3250	12226
84	3292	12202
85	3336	12181
86	3379	12159
87	3424	12139
88	3469	12124
89	3516	12112
90	3558	12081
91	3602	12061
92	3642	12025
93	3688	12006
94	3732	11982
95	3774	11953
96	3814	11914
97	3858	11891
98	3900	11859
99	3944	11833
100	3991	11817
101	4034	11788
102	4075	11752
103	4119	11723
104	4165	11701
105	4207	11668
106	4251	11642
107	4295	11615
108	4335	11575
109	4377	11541
110	4417	11501
111	4460	11469
112	4500	11430
113	4541	11394
114	4580	11350
115	4622	11317
116	4664	11282
117	4709	11255
118	4749	11215
119	4791	11180
120	4830	11139
121	4870	11098
122	4910	11059
123	4953	11025
124	4993	10986
125	5035	10950
126	5074	10907
127	5115	10870
128	5157	10834
129	5198	10796
130	5237	10754
131	5280	10720
132	5319	10679
133	5361	10642
134	5402	10604
135	5444	10568
136	5486	10532
137	5526	10493
138	5570	10460
139	5610	10420
140	5654	10386
141	5694	10346
142	5738	10312
143	5782	10280
144	5829	10252
145	5872	10216
146	5909	10171
147	5955	10141
148	5992	10094
149	6030	10051
150	6070	10009
151	6108	9966
152	6147	9924
153	6185	9880
154	6222	9835
155	6262	9794
156	6303	9756
157	6342	9713
158	6379	9668
159	6421	9632
160	6461	9591
161	6503	9554
162	6543	9513
163	6580	9469
164	6618	9426
165	6655	9381
166	6695	9341
167	6732	9297
168	6770	9253
169	6810	9213
170	6847	9170
171	6887	9129
172	6924	9086
173	6962	9043
174	7000	9000
175	7038	8957
176	7077	8917
177	7114	8873
178	7150	8827
179	7186	8783
180	7224	8741
181	7264	8701
182	7315	8675
183	7361	8642
184	7399	8599
185	7435	8555
186	7473	8512
187	7513	8472
188	7549	8427
189	7587	8386
190	7626	8344
191	7665	8303
192	7703	8261
193	7740	8219
194	7777	8176
195	7816	8135
196	7856	8096
197	7893	8053
198	7934	8013
199	7974	7974
200	8015	7935
201	8052	7893
202	8093	7854
203	8135	7816
204	8175	7776
205	8213	7735
206	8256	7697
207	8296	7658
208	8334	7616
209	8373	7575
210	8416	7538
211	8457	7500
212	8494	7457
213	8533	7416
214	8569	7373
215	8609	7333
216	8645	7290
217	8684	7250
218	8721	7208
219	8765	7171
220	8805	7132
221	8846	7092
222	8883	7051
223	8925	7012
224	8964	6972
225	9005	6933
226	9041	6890
227	9082	6851
228	9122	6812
229	9158	6769
230	9197	6729
231	9235	6687
232	9275	6647
233	9317	6610
234	9352	6566
235	9391	6526
236	9429	6485
237	9468	6445
238	9508	6405
239	9547	6364
240	9586	6324
241	9629	6286
242	9667	6246
243	9706	6205
244	9746	6166
245	9783	6124
246	9824	6085
247	9860	6043
248	9898	6002
249	9935	5961
250	9973	5920
251	10012	5880
252	10050	5839
253	10088	5799
254	10128	5759
255	10166	5718
256	10203	5677
257	10239	5635
258	10281	5596
259	10320	5557
260	10357	5516
261	10392	5473
262	10430	5433
263	10465	5391
264	10502	5350
265	10537	5308
266	10573	5267
267	10614	5227
268	10647	5185
269	10684	5144
270	10722	5104
271	10758	5063
272	10794	5021
273	10832	4981
274	10866	4939
275	10901	4897
276	10936	4856
277	10972	4815
278	11007	4773
279	11050	4736
280	11088	4695
281	11126	4655
282	11172	4618
283	11211	4579
284	11245	4537
285	11285	4498
286	11324	4458
287	11361	4418
288	11398	4377
289	11434	4337
290	11469	4296
291	11507	4256
292	11542	4215
293	11576	4173
294	11615	4134
295	11649	4093
296	11683	4051
297	11722	4012
298	11754	3970
299	11790	3930
300	11826	3889
301	11861	3849
302	11898	3809
303	11934	3768
304	11973	3729
305	12013	3690
306	12050	3650
307	12085	3610
308	12128	3571
309	12170	3533
310	12204	3492
311	12239	3452
312	12280	3413
313	12321	3374
314	12356	3334
315	12391	3293
316	12429	3254
317	12468	3215
318	12503	3174
319	12538	3134
320	12573	3094
321	12611	3054
322	12645	3014
323	12682	2974
324	12718	2935
325	12754	2895
326	12789	2855
327	12833	2817
328	12867	2776
329	12904	2737
330	12949	2699
331	12985	2659
332	13024	2620
333	13060	2580
334	13095	2540
335	13134	2501
336	13171	2462
337	13206	2422
338	13243	2383
339	13282	2343
340	13321	2304
341	13356	2265
342	13395	2226
343	13436	2187
344	13476	2148
345	13515	2109
346	13551	2069
347	13586	2030
348	13625	1991
349	13665	1952
350	13708	1913
351	13743	1874
352	13779	1834
353	13816	1795
354	13852	1755
355	13887	1716
356	13924	1677
357	13961	1637
358	13996	1598
359	14032	1559
360	14068	1519
361	14107	1480
362	14143	1441
363	14181	1402
364	14217	1363
365	14252	1324
366	14288	1284
367	14326	1245
368	14361	1206
369	14398	1167
370	14436	1128
371	14471	1089
372	14507	1050
373	14543	1011
374	14578	971
375	14615	932
376	14651	893
377	14688	854
378	14726	815
379	14762	776
380	14799	738
381	14839	699
382	14886	660
383	14928	622
384	14965	583
385	15001	544
386	15037	505
387	15072	466
388	15115	427
389	15149	388
390	15188	349
391	15225	310
392	15261	271
393	15300	233
394	15339	194
395	15375	155
396	15418	116
397	15453	77
398	15490	38
399	15530	0
